 ['c_000000000699', 'polyA_site_00006_+_readcount_7', 'ORF_000009', '+', 'no'],
 ['c_000000000012', 'polyA_site_03530_-_readcount_5', 'ORF_000524', '-', 'no'],
 ['c_000000000012', 'polyA_site_03531_-_readcount_2', 'ORF_000524', '-', 'no'],
 ['c_000000000012', 'polyA_site_03532_-_readcount_21', 'ORF_000529-b', '-', 'no'],
 ['c_000000000012', 'polyA_site_03533_-_readcount_2', 'ORF_000532-c', '-', 'no'],
 ['c_000000000012', 'polyA_site_03534_-_readcount_2', 'ORF_000534', '-', 'no'],
 ['c_000000000012', 'polyA_site_03536_-_readcount_22', 'ORF_000545', '-', 'no'],
 ['c_000000000012', 'polyA_site_03537_-_readcount_1', 'ORF_000545', '-', 'no'],
 ['c_000000000012', 'polyA_site_03538_-_readcount_1', 'ORF_000545-d', '-', 'no'],
 ['c_000000000012', 'polyA_site_03539_-_readcount_1', 'ORF_000546', '-', 'no'],
 ['c_000000000012', 'polyA_site_03540_-_readcount_9', 'ORF_000551', '-', 'no'],
 ['c_000000000012', 'polyA_site_03541_-_readcount_1', 'ORF_000553', '-', 'no'],
 ['c_000000000012', 'polyA_site_03543_-_readcount_6', 'ORF_000555', '-', 'no'],
 ['c_000000000012', 'polyA_site_03544_-_readcount_1', 'ORF_000556', '-', 'no'],
 ['c_000000000012', 'polyA_site_03545_-_readcount_23', 'ORF_000558', '-', 'no'],
 ['c_000000000012', 'polyA_site_03546_-_readcount_4', 'ORF_000560', '-', 'no'],
 ['c_000000000012', 'polyA_site_03547_-_readcount_4', 'ORF_000561', '-', 'no'],
 ['c_000000000012', 'polyA_site_03548_-_readcount_1', 'ORF_000562', '-', 'no'],
 ['c_000000000012', 'polyA_site_03549_-_readcount_80', 'ORF_000565', '-', 'no'],
 ['c_000000000012', 'polyA_site_03550_-_readcount_19', 'ORF_000565', '-', 'no'],
 ['c_000000000012', 'polyA_site_03551_-_readcount_17', 'ORF_000565', '-', 'no'],
 ['c_000000000012', 'polyA_site_03552_-_readcount_1', 'ORF_000565', '-', 'no'],
 ['c_000000000012', 'polyA_site_03553_-_readcount_1', 'ORF_000565', '-', 'no'],
 ['c_000000000012', 'polyA_site_03555_-_readcount_6', 'ORF_000566-b', '-', 'no'],
 ['c_000000000012', 'polyA_site_03556_-_readcount_5', 'ORF_000568', '-', 'no'],
 ['c_000000000012', 'polyA_site_03557_-_readcount_2', 'ORF_000571', '-', 'no'],
 ['c_000000000012', 'polyA_site_03558_-_readcount_2', 'ORF_000571-b', '-', 'no'],
 ['c_000000000012', 'polyA_site_03559_-_readcount_21', 'ORF_000576', '-', 'no'],
 ['c_000000000012', 'polyA_site_03560_-_readcount_28', 'ORF_000576-b', '-', 'no'],
 ['c_000000000012', 'polyA_site_03561_-_readcount_4', 'ORF_000589', '-', 'no'],
 ['c_000000000012', 'polyA_site_03562_-_readcount_2', 'ORF_000590', '-', 'no'],
 ['c_000000000012', 'polyA_site_03563_-_readcount_11', 'ORF_000596', '-', 'no'],
 ['c_000000000012', 'polyA_site_03564_-_readcount_1', 'ORF_000596', '-', 'no'],
 ['c_000000000012', 'polyA_site_03565_-_readcount_62', 'ORF_000598', '-', 'no'],
 ['c_000000000012', 'polyA_site_03566_-_readcount_1', 'ORF_000598', '-', 'no'],
 ['c_000000000012', 'polyA_site_03567_-_readcount_1', 'ORF_000602', '-', 'no'],
 ['c_000000000012', 'polyA_site_03568_-_readcount_1', 'ORF_000602', '-', 'no'],
 ['c_000000000012', 'polyA_site_03569_-_readcount_2', 'ORF_000603', '-', 'no'],
 ['c_000000000012', 'polyA_site_03571_-_readcount_1', 'ORF_000608-b', '-', 'no'],
 ['c_000000000012', 'polyA_site_03572_-_readcount_1', 'ORF_000609', '-', 'no'],
 ['c_000000000012', 'polyA_site_03573_-_readcount_6', 'ORF_000612', '-', 'no'],
 ['c_000000000012', 'polyA_site_03574_-_readcount_4', 'ORF_000615', '-', 'no'],
 ['c_000000000012', 'polyA_site_03575_-_readcount_58', 'ORF_000618', '-', 'no'],
 ['c_000000000012', 'polyA_site_03576_-_readcount_2', 'ORF_000618', '-', 'no'],
 ['c_000000000012', 'polyA_site_03577_-_readcount_1', 'ORF_000619-c', '-', 'no'],
 ['c_000000000012', 'polyA_site_03578_-_readcount_1', 'ORF_000622', '-', 'no'],
 ['c_000000000012', 'polyA_site_03579_-_readcount_1', 'ORF_000625', '-', 'no'],
 ['c_000000000012', 'polyA_site_03580_-_readcount_10', 'ORF_000625', '-', 'no'],
 ['c_000000000012', 'polyA_site_03581_-_readcount_2', 'ORF_000630', '-', 'no'],
 ['c_000000000012', 'polyA_site_03582_-_readcount_1', 'ORF_000631', '-', 'no'],
 ['c_000000000012', 'polyA_site_03585_-_readcount_1', 'ORF_000637', '-', 'no'],
 ['c_000000000012', 'polyA_site_03586_-_readcount_40', 'ORF_000643', '-', 'no'],
 ['c_000000000012', 'polyA_site_03587_-_readcount_11', 'ORF_000645', '-', 'no'],
 ['c_000000000012', 'polyA_site_03588_-_readcount_1', 'ORF_000646', '-', 'no'],
 ['c_000000000012', 'polyA_site_03590_-_readcount_4', 'ORF_000649', '-', 'no'],
 ['c_000000000012', 'polyA_site_03591_-_readcount_3', 'ORF_000651', '-', 'no'],
 ['c_000000000012', 'polyA_site_03592_-_readcount_9', 'ORF_000654', '-', 'no'],
 ['c_000000000012', 'polyA_site_03593_-_readcount_2', 'ORF_000656', '-', 'no'],
 ['c_000000000012', 'polyA_site_03594_-_readcount_1', 'ORF_000659-r', '-', 'no'],
 ['c_000000000012', 'polyA_site_03597_-_readcount_1', 'ORF_000663', '-', 'no'],
 ['c_000000000012', 'polyA_site_03598_-_readcount_1', 'ORF_000663', '-', 'no'],
 ['c_000000000012', 'polyA_site_03599_-_readcount_4', 'ORF_000668', '-', 'no'],
 ['c_000000000012', 'polyA_site_03600_-_readcount_10', 'ORF_000669', '-', 'no'],
 ['c_000000000012', 'polyA_site_03601_-_readcount_6', 'ORF_000670-b', '-', 'no'],
 ['c_000000000012', 'polyA_site_03602_-_readcount_1', 'ORF_000670-b', '-', 'no'],
 ['c_000000000012', 'polyA_site_03603_-_readcount_2', 'ORF_000670-b', '-', 'no'],
 ['c_000000000012', 'polyA_site_03604_-_readcount_2', 'ORF_000672', '-', 'no'],
 ['c_000000000012', 'polyA_site_03605_-_readcount_4', 'ORF_000673', '-', 'no'],
 ['c_000000000012', 'polyA_site_03606_-_readcount_3', 'ORF_000675', '-', 'no'],
 ['c_000000000012', 'polyA_site_03607_-_readcount_1', 'ORF_000679', '-', 'no'],
 ['c_000000000012', 'polyA_site_03608_-_readcount_34', 'ORF_000683', '-', 'no'],
 ['c_000000000012', 'polyA_site_03609_-_readcount_1', 'ORF_000683-b', '-', 'no'],
 ['c_000000000012', 'polyA_site_03610_-_readcount_2', 'ORF_000684', '-', 'no'],
 ['c_000000000012', 'polyA_site_03611_-_readcount_43', 'ORF_000686', '-', 'no'],
 ['c_000000000012', 'polyA_site_03612_-_readcount_1', 'ORF_000692', '-', 'no'],
 ['c_000000000012', 'polyA_site_03613_-_readcount_1', 'ORF_000696', '-', 'no'],
 ['c_000000000012', 'polyA_site_03614_-_readcount_20', 'ORF_000701', '-', 'no'],
 ['c_000000000012', 'polyA_site_03615_-_readcount_2', 'ORF_000701', '-', 'no'],
 ['c_000000000012', 'polyA_site_03616_-_readcount_1', 'ORF_000703', '-', 'no'],
 ['c_000000000012', 'polyA_site_03617_-_readcount_2', 'ORF_000710', '-', 'no'],
 ['c_000000000012', 'polyA_site_03618_-_readcount_1', 'ORF_000712', '-', 'no'],
 ['c_000000000012', 'polyA_site_03619_-_readcount_43', 'ORF_000713', '-', 'no'],
 ['c_000000000012', 'polyA_site_03620_-_readcount_46', 'ORF_000715', '-', 'no'],
 ['c_000000000012', 'polyA_site_03621_-_readcount_1', 'ORF_000715', '-', 'no'],
 ['c_000000000012', 'polyA_site_03622_-_readcount_2', 'ORF_000722', '-', 'no'],
 ['c_000000000012', 'polyA_site_03623_-_readcount_3', 'ORF_000723', '-', 'no'],
 ['c_000000000012', 'polyA_site_03624_-_readcount_1', 'ORF_000724', '-', 'no'],
 ['c_000000000012', 'polyA_site_03625_-_readcount_1', 'ORF_000724-b', '-', 'no'],
 ['c_000000000012', 'polyA_site_03626_-_readcount_2', 'ORF_000725-c', '-', 'no'],
 ['c_000000000012', 'polyA_site_03627_-_readcount_15', 'ORF_000726', '-', 'no'],
 ['c_000000000012', 'polyA_site_03628_-_readcount_1', 'ORF_000726', '-', 'no'],
 ['c_000000000012', 'polyA_site_03629_-_readcount_17', 'ORF_000726', '-', 'no'],
 ['c_000000000012', 'polyA_site_03630_-_readcount_1', 'ORF_000726', '-', 'no'],
 ['c_000000000012', 'polyA_site_03631_-_readcount_1', 'ORF_000729', '-', 'no'],
 ['c_000000000012', 'polyA_site_03632_-_readcount_3', 'ORF_000732', '-', 'no'],
 ['c_000000000012', 'polyA_site_03633_-_readcount_2', 'ORF_000732-b', '-', 'no'],
 ['c_000000000012', 'polyA_site_03634_-_readcount_29', 'ORF_000741', '-', 'no'],
 ['c_000000000012', 'polyA_site_03635_-_readcount_1', 'ORF_000741', '-', 'no'],
 ['c_000000000012', 'polyA_site_03637_-_readcount_1', 'ORF_000750', '-', 'no'],
 ['c_000000000012', 'polyA_site_03638_-_readcount_85', 'ORF_000752', '-', 'no'],
 ['c_000000000012', 'polyA_site_03639_-_readcount_2', 'ORF_000753', '-', 'no'],
 ['c_000000000012', 'polyA_site_03640_-_readcount_2', 'ORF_000753', '-', 'no'],
 ['c_000000000012', 'polyA_site_03641_-_readcount_7', 'ORF_000756', '-', 'no'],
 ['c_000000000012', 'polyA_site_03642_-_readcount_2', 'ORF_000758', '-', 'no'],
 ['c_000000000012', 'polyA_site_03643_-_readcount_25', 'ORF_000761', '-', 'no'],
 ['c_000000000012', 'polyA_site_03644_-_readcount_4', 'ORF_000766', '-', 'no'],
 ['c_000000000012', 'polyA_site_03645_-_readcount_1', 'ORF_000768', '-', 'no'],
 ['c_000000000012', 'polyA_site_03646_-_readcount_2', 'ORF_000771', '-', 'no'],
 ['c_000000000012', 'polyA_site_03647_-_readcount_84', 'ORF_000774-alt', '-', 'no'],
 ['c_000000000012', 'polyA_site_03648_-_readcount_1', 'ORF_000777', '-', 'no'],
 ['c_000000000012', 'polyA_site_03649_-_readcount_1', 'ORF_000779', '-', 'no'],
 ['c_000000000012', 'polyA_site_03650_-_readcount_26', 'ORF_000780', '-', 'no'],
 ['c_000000000012', 'polyA_site_03651_-_readcount_1', 'ORF_000784', '-', 'no'],
 ['c_000000000012', 'polyA_site_03652_-_readcount_4', 'ORF_000786', '-', 'no'],
 ['c_000000000012', 'polyA_site_03653_-_readcount_3', 'ORF_000787', '-', 'no'],
 ['c_000000000012', 'polyA_site_03654_-_readcount_2', 'ORF_000788', '-', 'no'],
 ['c_000000000012', 'polyA_site_03655_-_readcount_2', 'ORF_000793', '-', 'no'],
 ['c_000000000012', 'polyA_site_03657_-_readcount_7', 'ORF_000798', '-', 'no'],
 ['c_000000000012', 'polyA_site_03659_-_readcount_3', 'ORF_000799', '-', 'no'],
 ['c_000000000012', 'polyA_site_03660_-_readcount_1', 'ORF_000800', '-', 'no'],
 ['c_000000000012', 'polyA_site_03661_-_readcount_1', 'ORF_000804', '-', 'no'],
 ['c_000000000012', 'polyA_site_03662_-_readcount_2', 'ORF_000804', '-', 'no'],
 ['c_000000000012', 'polyA_site_03663_-_readcount_23', 'ORF_000803', '-', 'no'],
 ['c_000000000012', 'polyA_site_03664_-_readcount_45', 'ORF_000807', '-', 'no'],
 ['c_000000000012', 'polyA_site_03665_-_readcount_5', 'ORF_000807', '-', 'no'],
 ['c_000000000012', 'polyA_site_03666_-_readcount_1', 'ORF_000807', '-', 'no'],
 ['c_000000000012', 'polyA_site_03667_-_readcount_1', 'ORF_000807', '-', 'no'],
 ['c_000000000012', 'polyA_site_03668_-_readcount_1', 'ORF_000807', '-', 'no'],
 ['c_000000000012', 'polyA_site_03669_-_readcount_134', 'ORF_000808', '-', 'no'],
 ['c_000000000012', 'polyA_site_03670_-_readcount_137', 'ORF_000808', '-', 'no'],
 ['c_000000000012', 'polyA_site_03671_-_readcount_1', 'ORF_000808', '-', 'no'],
 ['c_000000000012', 'polyA_site_03672_-_readcount_9', 'ORF_000811', '-', 'no'],
 ['c_000000000012', 'polyA_site_03673_-_readcount_9', 'ORF_000814', '-', 'no'],
 ['c_000000000012', 'polyA_site_03674_-_readcount_5', 'ORF_000815', '-', 'no'],
 ['c_000000000012', 'polyA_site_03675_-_readcount_1', 'ORF_000815', '-', 'no'],
 ['c_000000000012', 'polyA_site_03676_-_readcount_3', 'ORF_000818', '-', 'no'],
 ['c_000000000012', 'polyA_site_03677_-_readcount_178', 'ORF_000821', '-', 'no'],
 ['c_000000000012', 'polyA_site_03678_-_readcount_5', 'ORF_000821', '-', 'no'],
 ['c_000000000012', 'polyA_site_03679_-_readcount_17', 'ORF_000821', '-', 'no'],
 ['c_000000000012', 'polyA_site_03680_-_readcount_10', 'ORF_000823', '-', 'no'],
 ['c_000000000012', 'polyA_site_03681_-_readcount_1', 'ORF_000825', '-', 'no'],
 ['c_000000000012', 'polyA_site_03682_-_readcount_4', 'ORF_000826', '-', 'no'],
 ['c_000000000012', 'polyA_site_03683_-_readcount_1', 'ORF_000829-b', '-', 'no'],
 ['c_000000000012', 'polyA_site_03684_-_readcount_2', 'ORF_000830', '-', 'no'],
 ['c_000000000012', 'polyA_site_03685_-_readcount_5', 'ORF_000833', '-', 'no'],
 ['c_000000000012', 'polyA_site_03686_-_readcount_4', 'ORF_000833', '-', 'no'],
 ['c_000000000012', 'polyA_site_03687_-_readcount_1', 'ORF_000834-b', '-', 'no'],
 ['c_000000000012', 'polyA_site_03688_-_readcount_2', 'ORF_000836', '-', 'no'],
 ['c_000000000012', 'polyA_site_03689_-_readcount_1', 'ORF_000837-b', '-', 'no'],
 ['c_000000000012', 'polyA_site_03690_-_readcount_3', 'ORF_000838', '-', 'no'],
 ['c_000000000012', 'polyA_site_03691_-_readcount_2', 'ORF_000839', '-', 'no'],
 ['c_000000000012', 'polyA_site_03692_-_readcount_3', 'ORF_000841', '-', 'no'],
 ['c_000000000012', 'polyA_site_03693_-_readcount_6', 'ORF_000844', '-', 'no'],
 ['c_000000000012', 'polyA_site_03694_-_readcount_1', 'ORF_000845', '-', 'no'],
 ['c_000000000012', 'polyA_site_03695_-_readcount_1', 'ORF_000845', '-', 'no'],
 ['c_000000000012', 'polyA_site_03696_-_readcount_1', 'ORF_000850', '-', 'no'],
 ['c_000000000012', 'polyA_site_03697_-_readcount_1', 'ORF_000851', '-', 'no'],
 ['c_000000000012', 'polyA_site_03698_-_readcount_7', 'ORF_000851', '-', 'no'],
 ['c_000000000012', 'polyA_site_03700_-_readcount_2', 'ORF_000854', '-', 'no'],
 ['c_000000000012', 'polyA_site_03701_-_readcount_4', 'ORF_000857', '-', 'no'],
 ['c_000000000012', 'polyA_site_03702_-_readcount_2', 'ORF_000858', '-', 'no'],
 ['c_000000000012', 'polyA_site_03703_-_readcount_1', 'ORF_000864', '-', 'no'],
 ['c_000000000012', 'polyA_site_03704_-_readcount_1', 'ORF_000864', '-', 'no'],
 ['c_000000000012', 'polyA_site_03705_-_readcount_3', 'ORF_000865', '-', 'no'],
 ['c_000000000012', 'polyA_site_03706_-_readcount_128', 'ORF_000867', '-', 'no'],
 ['c_000000000012', 'polyA_site_03707_-_readcount_4', 'ORF_000868', '-', 'no'],
 ['c_000000000012', 'polyA_site_03708_-_readcount_1', 'ORF_000873-b', '-', 'no'],
 ['c_000000000012', 'polyA_site_03709_-_readcount_5', 'ORF_000876', '-', 'no'],
 ['c_000000000012', 'polyA_site_03710_-_readcount_10', 'ORF_000878', '-', 'no'],
 ['c_000000000012', 'polyA_site_03712_-_readcount_1', 'ORF_000888', '-', 'no'],
 ['c_000000000012', 'polyA_site_03713_-_readcount_1', 'ORF_000889', '-', 'no'],
 ['c_000000000012', 'polyA_site_03714_-_readcount_2', 'ORF_000890', '-', 'no'],
 ['c_000000000012', 'polyA_site_03715_-_readcount_261', 'ORF_000891', '-', 'no'],
 ['c_000000000012', 'polyA_site_03716_-_readcount_1', 'ORF_000892', '-', 'no'],
 ['c_000000000012', 'polyA_site_03717_-_readcount_25', 'ORF_000897', '-', 'no'],
 ['c_000000000012', 'polyA_site_03718_-_readcount_16', 'ORF_000898', '-', 'no'],
 ['c_000000000012', 'polyA_site_03719_-_readcount_5', 'ORF_000904', '-', 'no'],
 ['c_000000000012', 'polyA_site_03721_-_readcount_46', 'ORF_000916', '-', 'no'],
 ['c_000000000012', 'polyA_site_03722_-_readcount_4', 'ORF_000916', '-', 'no'],
 ['c_000000000012', 'polyA_site_03723_-_readcount_2', 'ORF_000917', '-', 'no'],
 ['c_000000000012', 'polyA_site_03724_-_readcount_4', 'ORF_000919', '-', 'no'],
 ['c_000000000012', 'polyA_site_03725_-_readcount_1', 'ORF_000919', '-', 'no'],
 ['c_000000000012', 'polyA_site_03726_-_readcount_3', 'ORF_000920', '-', 'no'],
 ['c_000000000012', 'polyA_site_03727_-_readcount_14', 'ORF_000923', '-', 'no'],
 ['c_000000000012', 'polyA_site_03728_-_readcount_4', 'ORF_000924-b', '-', 'no'],
 ['c_000000000012', 'polyA_site_03729_-_readcount_27', 'ORF_000931', '-', 'no'],
 ['c_000000000012', 'polyA_site_03730_-_readcount_1', 'ORF_000931', '-', 'no'],
 ['c_000000000012', 'polyA_site_03731_-_readcount_1', 'ORF_000934', '-', 'no'],
 ['c_000000000012', 'polyA_site_03732_-_readcount_2', 'ORF_000943', '-', 'no'],
 ['c_000000000012', 'polyA_site_03733_-_readcount_9', 'ORF_000945', '-', 'no'],
 ['c_000000000012', 'polyA_site_03734_-_readcount_1', 'ORF_000945', '-', 'no'],
 ['c_000000000012', 'polyA_site_03735_-_readcount_65', 'ORF_000948', '-', 'no'],
 ['c_000000000012', 'polyA_site_03736_-_readcount_9', 'ORF_000951', '-', 'no'],
 ['c_000000000012', 'polyA_site_03737_-_readcount_2', 'ORF_000952', '-', 'no'],
 ['c_000000000012', 'polyA_site_03738_-_readcount_4', 'ORF_000953', '-', 'no'],
 ['c_000000000012', 'polyA_site_03740_-_readcount_1', 'ORF_000958', '-', 'no'],
 ['c_000000000012', 'polyA_site_03742_-_readcount_12', 'ORF_000965', '-', 'no'],
 ['c_000000000012', 'polyA_site_03743_-_readcount_2', 'ORF_000966', '-', 'no'],
 ['c_000000000012', 'polyA_site_03744_-_readcount_3', 'ORF_000967-b', '-', 'no'],
 ['c_000000000006', 'polyA_site_03745_-_readcount_1', 'ORF_000972', '-', 'no'],
 ['c_000000000006', 'polyA_site_03746_-_readcount_1', 'ORF_000973', '-', 'no'],
 ['c_000000000006', 'polyA_site_03747_-_readcount_1', 'ORF_000974', '-', 'no'],
 ['c_000000000006', 'polyA_site_03748_-_readcount_1', 'ORF_000974', '-', 'no'],
 ['c_000000000006', 'polyA_site_03749_-_readcount_4', 'ORF_000975', '-', 'no'],
 ['c_000000000006', 'polyA_site_03750_-_readcount_2', 'ORF_000977-b', '-', 'no'],
 ['c_000000000006', 'polyA_site_03751_-_readcount_5', 'ORF_000983', '-', 'no'],
 ['c_000000000006', 'polyA_site_03752_-_readcount_1', 'ORF_000984', '-', 'no'],
 ['c_000000000006', 'polyA_site_03753_-_readcount_10', 'ORF_000986', '-', 'no'],
 ['c_000000000006', 'polyA_site_03754_-_readcount_4', 'ORF_000998', '-', 'no'],
 ['c_000000000006', 'polyA_site_03755_-_readcount_1', 'ORF_001001', '-', 'no'],
 ['c_000000000006', 'polyA_site_03756_-_readcount_6', 'ORF_001004', '-', 'no'],
 ['c_000000000006', 'polyA_site_03757_-_readcount_1', 'ORF_001010', '-', 'no'],
 ['c_000000000006', 'polyA_site_03758_-_readcount_1', 'ORF_001014', '-', 'no'],
 ['c_000000000006', 'polyA_site_03759_-_readcount_10', 'ORF_001016', '-', 'no'],
 ['c_000000000006', 'polyA_site_03760_-_readcount_6', 'ORF_001017', '-', 'no'],
 ['c_000000000006', 'polyA_site_03761_-_readcount_8', 'ORF_001021', '-', 'no'],
 ['c_000000000006', 'polyA_site_03762_-_readcount_1', 'ORF_001023-b', '-', 'no'],
 ['c_000000000006', 'polyA_site_03763_-_readcount_254', 'ORF_001025', '-', 'no'],
 ['c_000000000006', 'polyA_site_03764_-_readcount_1', 'ORF_001025', '-', 'no'],
 ['c_000000000006', 'polyA_site_03765_-_readcount_1', 'ORF_001031', '-', 'no'],
 ['c_000000000006', 'polyA_site_03767_-_readcount_7', 'ORF_001036-b', '-', 'no'],
 ['c_000000000006', 'polyA_site_03768_-_readcount_1', 'ORF_001041-b', '-', 'no'],
 ['c_000000000006', 'polyA_site_03769_-_readcount_7', 'ORF_001043', '-', 'no'],
 ['c_000000000006', 'polyA_site_03770_-_readcount_1', 'ORF_001043', '-', 'no'],
 ['c_000000000006', 'polyA_site_03771_-_readcount_1', 'ORF_001044', '-', 'no'],
 ['c_000000000006', 'polyA_site_03772_-_readcount_2', 'ORF_001045', '-', 'no'],
 ['c_000000000006', 'polyA_site_03773_-_readcount_1', 'ORF_001048', '-', 'no'],
 ['c_000000000006', 'polyA_site_03774_-_readcount_4', 'ORF_001049-b', '-', 'no'],
 ['c_000000000006', 'polyA_site_03775_-_readcount_1', 'ORF_001054', '-', 'no'],
 ['c_000000000006', 'polyA_site_03776_-_readcount_4', 'ORF_001056', '-', 'no'],
 ['c_000000000006', 'polyA_site_03778_-_readcount_6', 'ORF_001059', '-', 'no'],
 ['c_000000000006', 'polyA_site_03780_-_readcount_13', 'ORF_001065', '-', 'no'],
 ['c_000000000006', 'polyA_site_03781_-_readcount_1', 'ORF_001066', '-', 'no'],
 ['c_000000000006', 'polyA_site_03783_-_readcount_1', 'ORF_001067', '-', 'no'],
 ['c_000000000006', 'polyA_site_03784_-_readcount_1', 'ORF_001067', '-', 'no'],
 ['c_000000000006', 'polyA_site_03792_-_readcount_5', 'ORF_001070', '-', 'no'],
 ['c_000000000006', 'polyA_site_03793_-_readcount_36', 'ORF_001071', '-', 'no'],
 ['c_000000000006', 'polyA_site_03794_-_readcount_2', 'ORF_001071', '-', 'no'],
 ['c_000000000006', 'polyA_site_03795_-_readcount_1', 'ORF_001071', '-', 'no'],
 ['c_000000000006', 'polyA_site_03798_-_readcount_11', 'ORF_001073', '-', 'no'],
 ['c_000000000006', 'polyA_site_03799_-_readcount_2', 'ORF_001075-b', '-', 'no'],
 ['c_000000000006', 'polyA_site_03800_-_readcount_2', 'ORF_001076', '-', 'no'],
 ['c_000000000006', 'polyA_site_03803_-_readcount_1', 'ORF_001080', '-', 'no'],
 ['c_000000000006', 'polyA_site_03804_-_readcount_1', 'ORF_001083', '-', 'no'],
 ['c_000000000006', 'polyA_site_03805_-_readcount_4', 'ORF_001087', '-', 'no'],
 ['c_000000000006', 'polyA_site_03806_-_readcount_23', 'ORF_001087', '-', 'no'],
 ['c_000000000006', 'polyA_site_03807_-_readcount_53', 'ORF_001087', '-', 'no'],
 ['c_000000000006', 'polyA_site_03808_-_readcount_1', 'ORF_001087', '-', 'no'],
 ['c_000000000006', 'polyA_site_03809_-_readcount_2', 'ORF_001090', '-', 'no'],
 ['c_000000000006', 'polyA_site_03810_-_readcount_59', 'ORF_001092', '-', 'no'],
 ['c_000000000006', 'polyA_site_03811_-_readcount_45', 'ORF_001094', '-', 'no'],
 ['c_000000000006', 'polyA_site_03812_-_readcount_82', 'ORF_001095', '-', 'no'],
 ['c_000000000006', 'polyA_site_03813_-_readcount_15', 'ORF_001095', '-', 'no'],
 ['c_000000000006', 'polyA_site_03814_-_readcount_1', 'ORF_001101-a', '-', 'no'],
 ['c_000000000006', 'polyA_site_03815_-_readcount_1', 'ORF_001101-a', '-', 'no'],
 ['c_000000000006', 'polyA_site_03816_-_readcount_1', 'ORF_001102', '-', 'no'],
 ['c_000000000006', 'polyA_site_03817_-_readcount_5', 'ORF_001103', '-', 'no'],
 ['c_000000000006', 'polyA_site_03818_-_readcount_3', 'ORF_001104', '-', 'no'],
 ['c_000000000006', 'polyA_site_03819_-_readcount_1', 'ORF_001105-b', '-', 'no'],
 ['c_000000000006', 'polyA_site_03820_-_readcount_5', 'ORF_001109', '-', 'no'],
 ['c_000000000006', 'polyA_site_03821_-_readcount_1', 'ORF_001116', '-', 'no'],
 ['c_000000000006', 'polyA_site_03822_-_readcount_1', 'ORF_001118', '-', 'no'],
 ['c_000000000006', 'polyA_site_03823_-_readcount_32', 'ORF_001120', '-', 'no'],
 ['c_000000000006', 'polyA_site_03824_-_readcount_2', 'ORF_001122', '-', 'no'],
 ['c_000000000006', 'polyA_site_03825_-_readcount_4', 'ORF_001126', '-', 'no'],
 ['c_000000000006', 'polyA_site_03826_-_readcount_3', 'ORF_001131-b', '-', 'no'],
 ['c_000000000006', 'polyA_site_03827_-_readcount_2', 'ORF_001131-b', '-', 'no'],
 ['c_000000000006', 'polyA_site_03828_-_readcount_2', 'ORF_001131-b', '-', 'no'],
 ['c_000000000006', 'polyA_site_03829_-_readcount_16', 'ORF_001131-b', '-', 'no'],
 ['c_000000000006', 'polyA_site_03830_-_readcount_2', 'ORF_001138', '-', 'no'],
 ['c_000000000006', 'polyA_site_03831_-_readcount_17', 'ORF_001142', '-', 'no'],
 ['c_000000000006', 'polyA_site_03832_-_readcount_1', 'ORF_001142', '-', 'no'],
 ['c_000000000006', 'polyA_site_03833_-_readcount_6', 'ORF_001143', '-', 'no'],
 ['c_000000000006', 'polyA_site_03834_-_readcount_6', 'ORF_001145-b', '-', 'no'],
 ['c_000000000006', 'polyA_site_03835_-_readcount_6', 'ORF_001148', '-', 'no'],
 ['c_000000000006', 'polyA_site_03836_-_readcount_2', 'ORF_001151', '-', 'no'],
 ['c_000000000006', 'polyA_site_03837_-_readcount_160', 'ORF_001151', '-', 'no'],
 ['c_000000000006', 'polyA_site_03838_-_readcount_1', 'ORF_001151-c', '-', 'no'],
 ['c_000000000006', 'polyA_site_03839_-_readcount_77', 'ORF_001153', '-', 'no'],
 ['c_000000000006', 'polyA_site_03840_-_readcount_3', 'ORF_001154', '-', 'no'],
 ['c_000000000006', 'polyA_site_03841_-_readcount_6', 'ORF_001156', '-', 'no'],
 ['c_000000000006', 'polyA_site_03842_-_readcount_5', 'ORF_001157', '-', 'no'],
 ['c_000000000006', 'polyA_site_03843_-_readcount_3', 'ORF_001159', '-', 'no'],
 ['c_000000000006', 'polyA_site_03845_-_readcount_1', 'ORF_001171-b', '-', 'no'],
 ['c_000000000006', 'polyA_site_03846_-_readcount_2', 'ORF_001173', '-', 'no'],
 ['c_000000000006', 'polyA_site_03848_-_readcount_1', 'ORF_001180', '-', 'no'],
 ['c_000000000006', 'polyA_site_03849_-_readcount_2', 'ORF_001183', '-', 'no'],
 ['c_000000000006', 'polyA_site_03850_-_readcount_207', 'ORF_001185', '-', 'no'],
 ['c_000000000006', 'polyA_site_03851_-_readcount_1', 'ORF_001185', '-', 'no'],
 ['c_000000000006', 'polyA_site_03852_-_readcount_21', 'ORF_001188', '-', 'no'],
 ['c_000000000006', 'polyA_site_03853_-_readcount_5', 'ORF_001189', '-', 'no'],
 ['c_000000000006', 'polyA_site_03854_-_readcount_16', 'ORF_001190-a', '-', 'no'],
 ['c_000000000006', 'polyA_site_03855_-_readcount_1', 'ORF_001190-b', '-', 'no'],
 ['c_000000000006', 'polyA_site_03856_-_readcount_3', 'ORF_001191', '-', 'no'],
 ['c_000000000006', 'polyA_site_03857_-_readcount_64', 'ORF_001194', '-', 'no'],
 ['c_000000000006', 'polyA_site_03858_-_readcount_6', 'ORF_001195', '-', 'no'],
